,year,company name,car model,km driven,ownership,Fuel,Price,Transmission,Variant,Cities
0,2009,Toyota,Camry,"99,864",1st Owner,Petrol,"₹3,07,299",Automatic,W4 AT Automatic,Mumbai
1,2015,BMW,3 Series,"63,677",2nd Owner,Diesel,"₹13,98,899",Automatic,320D LUXURYLINE Automatic,Mumbai
2,2017,Maruti,Dzire,"19,822",1st Owner,Petrol,"₹6,28,699",Automatic,VXI AMT Automatic,Mumbai
3,2016,Hyundai,Creta,"36,863",1st Owner,Petrol,"₹8,76,399",Manual,1.6 SX PLUS VTVT Manual,Mumbai
4,2016,Maruti,Baleno,"42,062",1st Owner,Petrol,"₹6,31,899",Automatic,ZETA 1.2 K12 CVT Automatic,Mumbai
5,2020,Skoda,Rapid,"6,981",1st Owner,Petrol,"₹9,01,299",Manual,1.0 AMBITION TSI MT Manual,Mumbai
6,2019,Tata,Harrier,"22,757",1st Owner,Diesel,"₹14,96,999",Manual,XZ 2.0L Kryotec Manual,Mumbai
7,2016,Maruti,Swift,"82,420",1st Owner,Diesel,"₹5,34,399",Manual,ZDI Manual,Mumbai
8,2019,KIA,SELTOS,"12,046",1st Owner,Petrol,"₹17,78,199",Manual,GTX+ 1.4 MT Manual,Mumbai
9,2019,KIA,SELTOS,"5,348",1st Owner,Petrol,"₹18,49,799",,GTX+ 1.4 MT,Mumbai
10,2019,KIA,SELTOS,"14,320",1st Owner,Petrol,"₹16,20,899",Manual,GTX+ 1.4 MT Manual,Mumbai
11,2020,Hyundai,VENUE,547,1st Owner,Petrol,"₹8,26,399",Manual,S MT 1.2 KAPPA Manual,Mumbai
12,2017,Maruti,Baleno,"12,840",2nd Owner,Petrol,"₹6,04,399",Manual,RS 1.0 PETROL Manual,Mumbai
13,2018,Maruti,Ciaz,"15,112",1st Owner,Petrol,"₹7,80,599",Automatic,ALPHA 1.4 VVT AMT Automatic,Mumbai
14,2012,Hyundai,i20,"37,982",1st Owner,Petrol,"₹3,67,499",Manual,ASTA 1.2 Manual,Mumbai
15,2018,Volkswagen,Polo,"43,686",1st Owner,Petrol,"₹5,06,499",Manual,Trendline 1.0 L Petrol Manual,Mumbai
16,2015,Hyundai,Creta,"1,10,584",1st Owner,Diesel,"₹9,07,699",Manual,1.6 SX CRDI Manual,Mumbai
17,2016,Volkswagen,Ameo,"31,192",2nd Owner,Petrol,"₹5,26,499",Manual,HIGHLINE 1.2 Manual,Mumbai
18,2017,Hyundai,i20 Active,"57,900",1st Owner,Petrol,"₹5,82,699",Manual,1.2 S Manual,Mumbai
19,2014,Hyundai,Elite i20,"43,096",2nd Owner,Petrol,"₹5,12,599",Manual,ASTA 1.2 Manual,Mumbai
20,2016,Maruti,Vitara Brezza,"97,103",1st Owner,Diesel,"₹7,73,199",Manual,ZDI PLUS Manual,Mumbai
21,2017,Honda,WR-V,"1,00,164",1st Owner,Petrol,"₹6,92,499",Manual,1.2 i-VTEC VX MT Manual,Mumbai
22,2016,Hyundai,i20 Active,"82,548",1st Owner,Diesel,"₹5,96,399",Manual,1.4 S Manual,Mumbai
23,2017,Honda,WR-V,"37,871",1st Owner,Petrol,"₹7,23,799",Manual,1.2 i-VTEC VX MT Manual,Mumbai
24,2017,Honda,WR-V,"53,017",1st Owner,Diesel,"₹7,61,999",Manual,1.5 i-DTEC VX MT Manual,Mumbai
25,2016,Hyundai,Creta,"39,104",1st Owner,Petrol,"₹10,56,399",Automatic,1.6 SX PLUS AUTO PETROL Automatic,Mumbai
26,2017,Maruti,Dzire,"38,194",1st Owner,Petrol,"₹6,47,999",Automatic,ZXI Plus AMT Automatic,Mumbai
27,2018,Ford,Figo Aspire,"47,965",1st Owner,Diesel,"₹5,16,399",Manual,1.5 TREND DIESEL Manual,Mumbai
28,2017,Maruti,Dzire,"1,07,185",1st Owner,Diesel,"₹6,74,399",Manual,VDI Manual,Mumbai
29,2019,Maruti,New Wagon-R,"3,555",1st Owner,Petrol,"₹5,21,899",,VXI 1.0,Mumbai
30,2019,Hyundai,VENUE,"11,482",1st Owner,Diesel,"₹9,11,699",Manual,1.4 CRDI S MT Manual,Mumbai
31,2019,Hyundai,VENUE,"23,558",1st Owner,Diesel,"₹9,94,699",Manual,SX(O) CRDi Manual,Mumbai
32,2017,Maruti,Dzire,"92,719",1st Owner,Petrol,"₹7,17,899",Automatic,ZXI AMT Automatic,Mumbai
33,2017,Maruti,Dzire,"40,204",1st Owner,Diesel,"₹7,30,399",Manual,ZDI Manual,Mumbai
34,2018,Honda,Jazz,"23,178",1st Owner,Petrol,"₹6,63,499",Manual,1.2 V MT Manual,Mumbai
35,2016,Hyundai,Elite i20,"69,615",1st Owner,Petrol,"₹5,34,799",Manual,ASTA 1.2 (O) Manual,Mumbai
36,2014,Maruti,Wagon R Stingray,"81,428",2nd Owner,Petrol,"₹3,22,799",Manual,VXI Manual,Mumbai
37,2017,Renault,Kwid,"31,147",1st Owner,Petrol,"₹3,03,199",Manual,1.0 RXT Manual,Mumbai
38,2016,Maruti,Baleno,"50,022",1st Owner,Petrol,"₹5,32,199",Manual,ZETA 1.2 K12 Manual,Mumbai
39,2014,Maruti,Celerio,"24,317",1st Owner,Petrol,"₹3,83,299",Manual,ZXI OPT Manual,Mumbai
40,2017,Hyundai,Elite i20,"68,595",2nd Owner,Diesel,"₹5,92,399",Manual,SPORTZ 1.4 Manual,Mumbai
41,2017,Hyundai,Elite i20,"11,371",1st Owner,Petrol,"₹5,39,199",Manual,ERA 1.2 Manual,Mumbai
42,2017,Ford,Ecosport,"66,188",1st Owner,Diesel,"₹6,46,099",Manual,1.5TITANIUM TDCI Manual,Mumbai
43,2019,Maruti,Swift,"19,590",1st Owner,Diesel,"₹7,03,799",Manual,VDI Manual,Mumbai
44,2017,Maruti,S Cross,"32,479",1st Owner,Diesel,"₹7,16,799",Manual,ZETA 1.3 Manual,Mumbai
45,2018,Hyundai,Creta,"48,945",3rd Owner,Diesel,"₹9,09,099",Manual,1.4 E PLUS CRDI Manual,Mumbai
46,2017,Maruti,S Cross,"43,867",1st Owner,Diesel,"₹7,38,799",Manual,DELTA 1.3 Manual,Mumbai
47,2017,Maruti,IGNIS,"12,099",1st Owner,Petrol,"₹4,76,599",Manual,DELTA 1.2 K12 Manual,Mumbai
48,2020,Maruti,Swift,"16,286",1st Owner,Petrol,"₹6,15,399",Manual,VXI Manual,Mumbai
49,2018,Maruti,Ciaz,"31,002",1st Owner,Petrol,"₹8,08,499",Automatic,ZETA 1.4 VVT AMT Automatic,Mumbai
50,2019,Hyundai,Elite i20,"1,898",1st Owner,Petrol,"₹7,34,399",Manual,1.2 SPORTS PLUS VTVT Manual,Mumbai
51,2019,MG,HECTOR,"2,978",1st Owner,Petrol,"₹18,63,999",Automatic,SHARP DCT PETROL Automatic,Mumbai
52,2017,Hyundai,Elite i20,"32,251",1st Owner,Petrol,"₹6,10,899",Manual,SPORTZ 1.2 Manual,Mumbai
53,2017,Toyota,Camry,"69,593",1st Owner,Petrol,"₹18,77,199",Manual,HYBRID Manual,Mumbai
54,2017,Maruti,S Cross,"67,396",1st Owner,Diesel,"₹7,98,899",Manual,ZETA 1.3 Manual,Mumbai
55,2017,Hyundai,Creta,"1,18,008",1st Owner,Diesel,"₹8,56,899",Manual,1.6 SX CRDI Manual,Mumbai
56,2018,Hyundai,Verna,"24,240",2nd Owner,Petrol,"₹10,47,399",Automatic,1.6 SX VTVT AT (O) Automatic,Mumbai
57,2018,Hyundai,Verna,"16,869",2nd Owner,Petrol,"₹10,53,199",Automatic,1.6 SX VTVT AT (O) Automatic,Mumbai
58,2019,Maruti,Alto,"21,494",2nd Owner,Petrol,"₹3,52,199",Manual,VXI Manual,Mumbai
59,2018,Hyundai,Verna,"12,729",1st Owner,Diesel,"₹10,84,299",Automatic,1.6 CRDI SX + AT Automatic,Mumbai
60,2019,MG,HECTOR,"22,687",1st Owner,Petrol,"₹16,63,899",Automatic,SHARP DCT PETROL Automatic,Mumbai
61,2017,Hyundai,Elite i20,"11,375",1st Owner,Petrol,"₹6,37,399",Manual,ASTA 1.2 (O) Manual,Mumbai
62,2018,Hyundai,Creta,"42,360",2nd Owner,Diesel,"₹13,07,499",Manual,1.6 SX AT CRDI Manual,Mumbai
63,2020,KIA,SELTOS,"20,305",1st Owner,Diesel,"₹15,57,599",Automatic,HTK PLUS AT 1.5 DIESEL Automatic,Mumbai
64,2018,Maruti,Dzire,"15,755",1st Owner,Petrol,"₹6,62,399",Manual,VXI Manual,Mumbai
65,2018,Ford,Ecosport,"12,961",1st Owner,Petrol,"₹8,27,299",Manual,1.5 TITANIUM PLUS TI VCT AT Manual,Mumbai
66,2018,Honda,City,"18,363",1st Owner,Petrol,"₹10,50,299",Manual,V MT PETROL Manual,Mumbai
67,2017,Hyundai,Eon,"1,140",1st Owner,Petrol,"₹3,46,999",Manual,MAGNA PLUS Manual,Mumbai
68,2017,Hyundai,Creta,"52,753",1st Owner,Diesel,"₹11,06,599",Automatic,1.6 CRDI SX PLUS AUTO Automatic,Mumbai
69,2019,Maruti,Baleno,"15,112",1st Owner,Petrol,"₹6,47,599",Manual,DELTA 1.2 K12 Manual,Mumbai
70,2018,Honda,WR-V,"17,699",1st Owner,Petrol,"₹7,76,199",Manual,1.2 i-VTEC VX MT Manual,Mumbai
71,2018,Ford,Ecosport,"40,157",1st Owner,Diesel,"₹8,59,499",Manual,1.5TITANIUM TDCI Manual,Mumbai
72,2018,Hyundai,Verna,"12,584",1st Owner,Petrol,"₹11,23,999",Automatic,1.6 SX VTVT AT (O) Automatic,Mumbai
73,2019,Ford,Ecosport,"17,463",1st Owner,Petrol,"₹8,95,299",Manual,1.5 TITANIUM TI VCT Manual,Mumbai
74,2018,Honda,WR-V,"16,631",1st Owner,Petrol,"₹8,50,899",Manual,1.2 i-VTEC VX MT Manual,Mumbai
75,2017,Maruti,Celerio,"66,663",1st Owner,Petrol,"₹4,22,899",Manual,VXI Manual,Mumbai
76,2019,Maruti,IGNIS,"13,058",1st Owner,Petrol,"₹5,53,499",Automatic,ZETA 1.2 K12 AMT Automatic,Mumbai
77,2016,Hyundai,Grand i10,"32,812",1st Owner,Petrol,"₹4,33,799",Manual,SPORTS 1.2 VTVT Manual,Mumbai
78,2019,Maruti,Vitara Brezza,"21,250",1st Owner,Diesel,"₹9,00,899",Manual,VDI Manual,Mumbai
79,2018,Ford,Ecosport,"11,860",1st Owner,Petrol,"₹8,87,999",Manual,1.5 TITANIUM PLUS TI VCT AT Manual,Mumbai
80,2019,Hyundai,Grand i10,"4,031",1st Owner,Petrol,"₹5,26,999",Manual,MAGNA 1.2 KAPPA VTVT Manual,Mumbai
81,2013,Maruti,Swift,"36,351",1st Owner,Petrol,"₹3,97,799",Manual,VXI Manual,Mumbai
82,2017,Maruti,Baleno,"31,950",1st Owner,Petrol,"₹6,28,799",Manual,ALPHA 1.2 K12 Manual,Mumbai
83,2020,Maruti,Vitara Brezza,"23,940",1st Owner,Petrol,"₹9,11,499",Manual,ZXI Manual,Mumbai
84,2016,Toyota,Corolla Altis,"90,835",1st Owner,Petrol,"₹10,78,499",Automatic,VL AT Automatic,Mumbai
85,2018,Maruti,Dzire,"6,778",1st Owner,Petrol,"₹6,89,599",Manual,VXI Manual,Mumbai
86,2018,Maruti,Vitara Brezza,"36,894",1st Owner,Diesel,"₹8,24,199",Manual,ZDI Manual,Mumbai
87,2018,Maruti,Swift,"5,284",1st Owner,Diesel,"₹6,50,399",Manual,VDI Manual,Mumbai
88,2018,Maruti,Celerio,"15,478",1st Owner,Petrol,"₹4,72,699",Manual,VXI Manual,Mumbai
89,2016,Hyundai,Grand i10,"26,904",1st Owner,Petrol,"₹4,63,199",Manual,SPORTS 1.2 VTVT Manual,Mumbai
90,2020,Hyundai,VENUE,"21,526",1st Owner,Petrol,"₹11,60,199",Automatic,1.0 TURBO GDI SX+ AT Automatic,Mumbai
91,2018,Maruti,Wagon R 1.0,"35,242",1st Owner,Petrol,"₹4,50,199",Automatic,VXI AMT Automatic,Mumbai
92,2017,Maruti,Alto K10,"55,116",1st Owner,Petrol,"₹3,21,699",Manual,VXI OPT Manual,Mumbai
93,2013,Maruti,Swift Dzire,"42,182",1st Owner,Petrol,"₹4,41,799",Manual,VXI 1.2 BS IV Manual,Mumbai
94,2018,Hyundai,Verna,"60,214",1st Owner,Petrol,"₹10,60,199",Automatic,1.6 SX VTVT AT (O) Automatic,Mumbai
95,2019,Maruti,Vitara Brezza,"27,771",1st Owner,Diesel,"₹9,45,499",Manual,VDI Manual,Mumbai
96,2013,Maruti,Swift Dzire,"72,893",1st Owner,Diesel,"₹5,60,099",Manual,VDI BS IV Manual,Mumbai
97,2017,Maruti,Baleno,"36,120",1st Owner,Petrol,"₹7,02,799",Manual,ALPHA 1.2 K12 Manual,Mumbai
98,2018,Maruti,Dzire,"26,367",1st Owner,Diesel,"₹7,82,999",Manual,ZDI Manual,Mumbai
99,2018,Hyundai,Grand i10,"16,228",2nd Owner,Petrol,"₹5,50,199",Automatic,SPORTS 1.2 AT VTVT Automatic,Mumbai
100,2018,Maruti,Celerio,"43,901",1st Owner,Petrol,"₹4,51,699",Manual,ZXI Manual,Mumbai
101,2017,Maruti,Vitara Brezza,"46,603",1st Owner,Diesel,"₹8,49,099",Manual,ZDI PLUS Manual,Mumbai
102,2018,Maruti,Vitara Brezza,"26,395",1st Owner,Diesel,"₹8,44,799",Manual,ZDI Manual,Mumbai
103,2014,Maruti,Alto 800,"22,626",2nd Owner,Petrol,"₹2,48,899",Manual,LXI Manual,Mumbai
104,2019,Ford,Ecosport,"10,102",1st Owner,Petrol,"₹9,77,199",,1.5 TITANIUM PLUS TI VCT AT,Mumbai
105,2019,Maruti,Baleno,"4,333",1st Owner,Petrol,"₹7,50,299",Manual,ALPHA 1.2 K12 Manual,Mumbai
106,2016,Hyundai,Grand i10,"15,650",1st Owner,Petrol,"₹4,78,599",Manual,SPORTS 1.2 VTVT Manual,Mumbai
107,2018,Jeep,Compass,"13,908",1st Owner,Petrol,"₹17,16,699",Automatic,LIMITED 1.4 AT Automatic,Mumbai
108,2020,MG,HECTOR,"8,681",1st Owner,Petrol,"₹17,75,099",Automatic,SHARP DCT PETROL Automatic,Mumbai
109,2018,Maruti,Vitara Brezza,"59,639",1st Owner,Diesel,"₹8,49,099",Manual,ZDI PLUS DUAL TONE Manual,Mumbai
110,2016,Maruti,Alto K10,"25,823",1st Owner,Petrol,"₹2,96,899",Manual,VXI Manual,Mumbai
111,2019,Maruti,Dzire,"34,404",1st Owner,Diesel,"₹8,33,899",Manual,ZDI Manual,Mumbai
112,2016,Hyundai,Grand i10,"11,819",2nd Owner,Petrol,"₹5,10,899",Automatic,1.2 ASTA (O) AT Automatic,Mumbai
113,2018,Jeep,Compass,"25,460",2nd Owner,Petrol,"₹15,76,699",Automatic,LIMITED O 1.4 AT Automatic,Mumbai
114,2021,Maruti,S PRESSO,470,1st Owner,Petrol,"₹4,69,899",Manual,VXI PLUS Manual,Mumbai
115,2015,Maruti,Alto 800,"6,248",1st Owner,Petrol,"₹2,91,999",Manual,LXI Manual,Mumbai
116,2015,Hyundai,Grand i10,"10,267",1st Owner,Petrol,"₹4,74,799",Manual,ASTA AT 1.2 KAPPA VTVT Manual,Mumbai
117,2018,Maruti,Alto 800,"8,465",1st Owner,Petrol,"₹3,20,799",Manual,LXI Manual,Mumbai
118,2018,Maruti,Alto 800,"28,494",1st Owner,Petrol,"₹3,29,499",Manual,VXI Manual,Mumbai
119,2017,Maruti,Alto K10,"13,739",1st Owner,Petrol,"₹3,62,299",Manual,VXI (O) AMT Manual,Mumbai
120,2016,Mahindra,Kuv100,"44,486",1st Owner,Petrol,"₹3,90,799",Manual,K6+ 5 STR Manual,Mumbai
121,2016,Datsun,Redi Go,"48,135",1st Owner,Petrol,"₹2,32,599",Manual,T (O) Manual,Mumbai
122,2015,Hyundai,Elite i20,"32,895",1st Owner,Diesel,"₹6,09,199",Manual,ASTA 1.4 CRDI Manual,Mumbai
123,2015,Maruti,Celerio,"21,306",1st Owner,Petrol,"₹3,78,199",Manual,VXI Manual,Mumbai
124,2016,Hyundai,Creta,"53,826",1st Owner,Petrol,"₹8,23,699",,1.6 SX PLUS VTVT,Mumbai
125,2014,Hyundai,Xcent,"56,864",3rd Owner,Petrol,"₹3,97,799",Automatic,SX AT 1.2 OPT Automatic,Mumbai
126,2017,Volkswagen,Polo,"12,773",1st Owner,Petrol,"₹7,47,099",Automatic,GT TSI 1.2 PETROL AT Automatic,Mumbai
127,2017,Toyota,Innova Crysta,"44,371",1st Owner,Diesel,"₹15,45,899",Automatic,2.8 GX AT 7 STR Automatic,Mumbai
128,2016,Hyundai,Elite i20,"45,362",1st Owner,Petrol,"₹5,60,499",Manual,ASTA 1.2 Manual,Mumbai
129,2015,Volkswagen,Vento,"62,093",1st Owner,Petrol,"₹5,46,399",Manual,HIGHLINE PETROL Manual,Mumbai
130,2014,Maruti,Swift Dzire,"30,601",2nd Owner,Petrol,"₹4,49,699",Manual,VXI 1.2 BS IV Manual,Mumbai
131,2018,Hyundai,Elite i20,"21,666",1st Owner,Petrol,"₹5,83,399",Manual,Magna Executive 1.2 Manual,Mumbai
132,2017,Maruti,Ertiga,"46,339",1st Owner,Diesel,"₹7,70,599",Manual,VDI SHVS Manual,Mumbai
133,2020,Maruti,Dzire,"3,000",1st Owner,Petrol,"₹7,58,599",Automatic,VXI AMT Automatic,Mumbai
134,2016,Volkswagen,Polo,"48,730",2nd Owner,Petrol,"₹6,02,099",Automatic,GT TSI 1.2 PETROL AT Automatic,Mumbai
135,2018,Maruti,Vitara Brezza,"20,210",1st Owner,Diesel,"₹8,70,499",Manual,ZDI Manual,Mumbai
136,2017,Hyundai,i20 Active,"12,910",1st Owner,Petrol,"₹6,20,799",Manual,1.2 SX Manual,Mumbai
137,2018,Mahindra,TUV300,"29,735",2nd Owner,Diesel,"₹7,77,599",Manual,T 10 MT Dual Tone Manual,Mumbai
138,2017,Maruti,Vitara Brezza,"47,948",1st Owner,Diesel,"₹7,14,899",Manual,ZDI Manual,Mumbai
139,2014,Hyundai,Grand i10,"19,399",1st Owner,Petrol,"₹3,87,099",Manual,MAGNA 1.2 KAPPA VTVT Manual,Mumbai
140,2020,Mahindra,Bolero,"15,137",1st Owner,Diesel,"₹8,85,188",Manual,B6 (O) Manual,Mumbai
141,2017,Hyundai,Elite i20,"6,610",1st Owner,Petrol,"₹5,93,799",Manual,SPORTZ 1.2 Manual,Mumbai
142,2016,Hyundai,i20 Active,"18,494",1st Owner,Petrol,"₹6,04,199",Manual,1.2 SX Manual,Mumbai
143,2016,Maruti,Ciaz,"30,032",1st Owner,Petrol,"₹5,59,699",Manual,VXI PLUS Manual,Mumbai
144,2018,Ford,Ecosport,"12,488",1st Owner,Petrol,"₹7,49,699",,TREND + 1.5 TI VCT AT,Mumbai
145,2017,Maruti,Alto 800,"16,069",1st Owner,Petrol,"₹3,07,599",Manual,VXI Manual,Mumbai
146,2012,Honda,Jazz,"65,710",2nd Owner,Petrol,"₹3,23,899",Manual,1.2 SELECT I VTEC Manual,Mumbai
147,2019,Hyundai,VENUE,"26,448",1st Owner,Petrol,"₹10,81,099",Automatic,1.0 TURBO GDI SX+ AT Automatic,Mumbai
148,2020,MG,HECTOR,"8,149",1st Owner,Petrol,"₹16,99,799",,SHARP DCT PETROL,Mumbai
149,2019,Maruti,Ertiga,"31,584",1st Owner,Diesel,"₹8,57,499",Manual,VDI Manual,Mumbai
150,2019,Hyundai,GRAND I10 NIOS,"13,922",1st Owner,Petrol,"₹6,50,999",Automatic,SPORTZ 1.2 AT Automatic,Mumbai
151,2014,Hyundai,Xcent,"41,980",1st Owner,Petrol,"₹4,20,699",Manual,S 1.2 OPT Manual,Mumbai
152,2020,Hyundai,VENUE,"4,489",1st Owner,Petrol,"₹9,52,499",Manual,SX 1.0 GDI IMT Manual,Mumbai
153,2018,Tata,Hexa,"29,404",1st Owner,Diesel,"₹11,22,599",Manual,Varicor 320 XE Manual,Mumbai
154,2016,Hyundai,Grand i10,"53,881",1st Owner,Petrol,"₹4,08,799",Manual,SPORTS 1.2 VTVT Manual,Mumbai
155,2019,Maruti,New Wagon-R,"26,538",1st Owner,Petrol,"₹5,23,899",,ZXI 1.2,Mumbai
156,2019,Ford,Figo Aspire,"14,526",1st Owner,Petrol,"₹5,69,999",Manual,1.2 TITANIUM PETROL Manual,Mumbai
157,2017,Maruti,Vitara Brezza,"74,197",1st Owner,Diesel,"₹6,52,299",Manual,ZDI Manual,Mumbai
158,2016,Ford,Ecosport,"86,474",1st Owner,Diesel,"₹5,94,399",Manual,1.5TITANIUM TDCI Manual,Mumbai
159,2013,Honda,Brio,"56,857",1st Owner,Petrol,"₹3,42,199",Automatic,1.2 VX AT I VTEC Automatic,Mumbai
160,2014,Maruti,Wagon R Stingray,"59,494",1st Owner,Petrol + CNG,"₹3,24,999",Manual,VXI Manual,Mumbai
161,2019,Hyundai,Creta,"12,012",1st Owner,Diesel,"₹15,03,699",Manual,1.6 SX AT CRDI Manual,Mumbai
162,2015,Maruti,Swift Dzire,"95,918",1st Owner,Petrol,"₹4,22,999",Manual,VXI 1.2 BS IV Manual,Mumbai
163,2017,Maruti,Baleno,"48,530",1st Owner,Petrol,"₹5,33,999",Manual,ZETA 1.2 K12 Manual,Mumbai
164,2017,Maruti,Vitara Brezza,"46,304",1st Owner,Diesel,"₹6,70,499",Manual,VDI OPT Manual,Mumbai
165,2018,Maruti,Swift,"8,339",1st Owner,Petrol,"₹5,86,999",Manual,VXI Manual,Mumbai
166,2018,Maruti,Ciaz,"15,511",1st Owner,Diesel,"₹8,98,799",Manual,ALPHA 1.3 DDIS SHVS Manual,Mumbai
167,2012,Maruti,Swift Dzire,"49,478",1st Owner,Petrol,"₹3,64,099",Manual,VXI 1.2 BS IV Manual,Mumbai
168,2016,Hyundai,Grand i10,"29,826",1st Owner,Petrol,"₹4,19,999",Manual,ASTA AT 1.2 KAPPA VTVT Manual,Mumbai
169,2014,Hyundai,Grand i10,"52,072",1st Owner,Petrol,"₹4,02,899",Manual,MAGNA 1.2 KAPPA VTVT Manual,Mumbai
170,2020,Maruti,Vitara Brezza,"18,943",1st Owner,Petrol,"₹9,17,499",Manual,ZXI + Manual,Mumbai
171,2019,Ford,Ecosport,"17,152",1st Owner,Diesel,"₹9,26,299",Manual,1.5 TITANIUM THUNDER EDITION TI TDCI Manual,Mumbai
172,2018,Maruti,Swift,"23,649",1st Owner,Petrol,"₹6,18,799",Automatic,ZXI AMT Automatic,Mumbai
173,2019,Renault,Kwid,"7,547",1st Owner,Petrol,"₹4,83,599",Automatic,RXT 1.0 EASY-R AT OPTION Automatic,Mumbai
174,2017,Hyundai,Grand i10,"8,592",1st Owner,Petrol,"₹5,04,199",Manual,Sportz(O) 1.2 MT Manual,Mumbai
175,2018,Maruti,Vitara Brezza,"35,944",1st Owner,Diesel,"₹9,46,499",Automatic,ZDI + AMT Automatic,Mumbai
176,2016,Maruti,Alto 800,"16,709",2nd Owner,Petrol,"₹2,66,799",Manual,VXI Manual,Mumbai
177,2014,Ford,Figo,"43,237",1st Owner,Diesel,"₹3,03,999",Manual,1.4 TITANIUM DURATORQ Manual,Mumbai
178,2015,Maruti,Ertiga,"49,628",1st Owner,Diesel,"₹6,45,499",Manual,ZDI Manual,Mumbai
179,2016,Maruti,Swift Dzire,"64,120",1st Owner,Diesel,"₹5,80,099",Manual,VDI BS IV Manual,Mumbai
180,2017,Hyundai,Elite i20,"40,991",1st Owner,Petrol,"₹5,25,999",Manual,Magna Executive 1.2 Manual,Mumbai
181,2015,Ford,Ecosport,"27,468",1st Owner,Petrol,"₹5,23,499",Manual,1.5 TITANIUM TI VCT Manual,Mumbai
182,2015,Maruti,Alto K10,"24,518",1st Owner,Petrol,"₹2,65,799",Manual,VXI Manual,Mumbai
183,2020,Maruti,New Wagon-R,996,1st Owner,Petrol,"₹6,17,599",Automatic,ZXI 1.2L AGS Automatic,Mumbai
184,2020,Maruti,Ertiga,"32,402",1st Owner,Petrol + CNG,"₹10,30,799",Manual,VXI CNG Manual,Mumbai
185,2012,Hyundai,i20,"23,044",1st Owner,Petrol,"₹3,32,299",Manual,SPORTZ 1.2 VTVT Manual,Mumbai
186,2018,Honda,Amaze,"14,604",1st Owner,Petrol,"₹6,40,799",Manual,1.2 VXMT I VTEC Manual,Mumbai
187,2020,Maruti,Swift,"1,550",1st Owner,Petrol,"₹6,27,799",Manual,VXI Manual,Mumbai
188,2017,Maruti,Alto K10,"1,519",1st Owner,Petrol + CNG,"₹3,57,699",Manual,LXI CNG (O) Manual,Mumbai
189,2019,Renault,Kwid,"10,737",1st Owner,Petrol,"₹3,90,599",Manual,RXL Manual,Mumbai
190,2016,Mahindra,XUV500,"62,511",2nd Owner,Diesel,"₹11,22,799",Automatic,W10 AT FWD Automatic,Mumbai
191,2017,Maruti,Baleno,"60,665",2nd Owner,Petrol + CNG,"₹5,32,299",Manual,DELTA 1.2 K12 Manual,Mumbai
192,2017,Hyundai,Xcent,"31,123",1st Owner,Petrol,"₹4,48,199",Manual,S 1.2 Manual,Mumbai
193,2015,Maruti,Swift,"62,081",1st Owner,Petrol,"₹4,41,199",Manual,VXI Manual,Mumbai
194,2014,Hyundai,Verna,"43,443",1st Owner,Petrol,"₹5,40,299",Manual,FLUIDIC 1.6 SX VTVT Manual,Mumbai
195,2015,Maruti,Wagon R 1.0,"57,492",1st Owner,Petrol,"₹3,28,999",Manual,LXI Manual,Mumbai
196,2016,Maruti,Celerio,"39,682",1st Owner,Petrol,"₹4,19,599",Manual,ZXI Manual,Mumbai
197,2015,Maruti,Alto K10,"25,490",1st Owner,Petrol,"₹3,26,399",Manual,VXI Manual,Mumbai
198,2020,KIA,SELTOS,"2,787",1st Owner,Petrol,"₹19,69,399",,GTX + AT PETROL,Mumbai
199,2013,Maruti,Swift Dzire,"74,296",1st Owner,Diesel,"₹5,28,199",Manual,VDI BS IV Manual,Mumbai
200,2020,Maruti,Dzire,"15,315",1st Owner,Petrol,"₹7,30,899",Automatic,VXI AMT Automatic,Mumbai
201,2019,KIA,SELTOS,"34,292",1st Owner,Diesel,"₹16,12,099",Automatic,HTX+ AT 1.5 DIESEL Automatic,Mumbai
202,2014,Hyundai,Eon,"63,171",1st Owner,Petrol,"₹2,40,399",Manual,SPORTZ Manual,Mumbai
203,2018,Maruti,Baleno,"9,439",1st Owner,Petrol,"₹6,03,999",Manual,DELTA 1.2 K12 Manual,Mumbai
204,2017,Maruti,Alto 800,"15,575",1st Owner,Petrol,"₹3,13,799",Manual,LXI Manual,Mumbai
205,2015,Hyundai,Verna,"25,274",1st Owner,Petrol,"₹5,04,299",Manual,FLUIDIC 1.6 VTVT S (O) MT Manual,Mumbai
206,2018,Maruti,Alto K10,"19,746",1st Owner,Petrol,"₹3,81,199",Manual,VXI (O) AMT Manual,Mumbai
207,2020,KIA,SELTOS,"22,656",1st Owner,Petrol,"₹11,95,699",Manual,HTK 1.5 PETROL Manual,Mumbai
208,2016,Hyundai,Elite i20,"56,445",2nd Owner,Petrol,"₹4,93,899",Manual,SPORTZ 1.2 Manual,Mumbai
209,2017,Maruti,Swift,"28,108",1st Owner,Petrol,"₹4,16,699",Manual,VXI LIMITED EDITION Manual,Mumbai
210,2014,Maruti,Ciaz,"93,091",1st Owner,Petrol,"₹5,15,499",Manual,ZXI Manual,Mumbai
211,2019,Ford,Ecosport,"22,773",1st Owner,Petrol,"₹9,57,199",Manual,1.5 TITANIUM PLUS TI VCT AT Manual,Mumbai
212,2018,Maruti,S Cross,"37,002",1st Owner,Diesel,"₹7,80,199",Manual,SIGMA SHVS Manual,Mumbai
